date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2015-01-01,A_Value,oos,-0.020973,-0.020209,-0.031459,0.050979,-0.082438,1.0,1.0,1.0,555.0,555.0,0.05362,0.01,0.00125,0.0,-0.00125,0.0,6.441441,2.407207,0.979027,-0.020973,-0.020973,,,,,,,,,,,,,,,,0.0,,
2015-02-01,A_Value,oos,0.007034,0.012188,0.010551,0.000594,0.009957,0.043165,0.034173,0.038669,556.0,556.0,-0.002034,0.000387,0.00125,0.0,-0.00125,0.0,6.485612,2.491007,0.985914,0.007034,-0.014086,,,,,,,,,,,,,,,,0.5,,
2015-03-01,A_Value,oos,0.015364,0.024739,0.023046,0.013781,0.009266,0.050542,0.037906,0.044224,554.0,554.0,0.007952,0.000442,0.00125,0.0,-0.00125,0.0,6.51444,2.537906,1.001062,0.015364,0.001062,0.001062,,,,,,0.0,,,,,,,,,0.666667,0.666667,
2015-04-01,A_Value,oos,-0.012198,-0.007918,-0.018297,-0.000784,-0.017513,0.989189,0.836601,0.912895,555.0,1683.0,0.004744,0.009129,0.00125,0.0,-0.00125,0.0,6.055856,0.925134,0.988851,-0.012198,0.010034,-0.011149,,,,,,-0.012198,,,,,,,,,0.666667,0.5,
2015-05-01,A_Value,oos,-0.005821,-0.00043,-0.008731,-0.014491,0.00576,0.919065,0.491007,0.705036,556.0,556.0,-0.011654,0.00705,0.00125,0.0,-0.00125,0.0,6.345324,2.541367,0.983095,-0.005821,-0.002859,-0.016905,,,,,,-0.017947,,,,,,,,,0.333333,0.4,
2015-06-01,A_Value,oos,0.007644,0.013957,0.011466,-0.019572,0.031038,0.098921,0.149281,0.124101,556.0,556.0,-0.027217,0.001241,0.00125,0.0,-0.00125,0.0,6.352518,2.794964,0.99061,0.007644,-0.010441,-0.00939,-0.00939,,,0.047828,,-0.017947,-0.017947,,-0.374208,,-0.60131,,-1.041482,,0.333333,0.5,0.5
2015-07-01,A_Value,oos,0.021932,0.038455,0.032897,-0.048953,0.08185,0.460432,0.401079,0.430755,556.0,556.0,-0.051852,0.004308,0.00125,0.0,-0.00125,0.0,6.318345,2.026978,1.012336,0.021932,0.02375,0.034022,0.012336,,,0.053355,,-0.017947,-0.017947,,0.417128,,0.781676,,1.183437,,0.666667,0.666667,0.571429
2015-08-01,A_Value,oos,0.040526,0.063018,0.060789,-0.04949,0.110279,0.100539,0.095153,0.097846,557.0,557.0,-0.053566,0.000978,0.00125,0.0,-0.00125,0.0,6.005386,1.763016,1.053362,0.040526,0.071475,0.068411,0.053362,,,0.068435,,-0.017947,-0.017947,,1.172841,,2.947758,,4.518798,,1.0,0.666667,0.625
2015-09-01,A_Value,oos,0.022293,0.035332,0.033439,0.07605,-0.042612,0.074275,0.054348,0.064312,552.0,552.0,0.054526,0.000643,0.00125,0.0,-0.00125,0.0,6.188406,2.014493,1.076844,0.022293,0.087051,0.075702,0.076844,,,0.066502,,-0.005821,-0.017947,,1.519772,,3.874674,,5.780692,,1.0,0.666667,0.666667
2015-10-01,A_Value,oos,-0.024761,-0.03534,-0.037141,0.002052,-0.039193,0.063177,0.046931,0.055054,554.0,554.0,0.008298,0.000551,0.00125,0.0,-0.00125,0.0,6.254513,2.025271,1.05018,-0.024761,0.037384,0.062021,0.05018,,,0.072474,,-0.024761,-0.024761,,0.845114,,1.842066,,2.443992,,0.666667,0.666667,0.6
